연도,총 출고량,탁주,약주,청주,맥주,과실주,증류식소주,희석식소주,위스키,브랜디,일반증류주,리큐르,기타주류
2005,3245363,166319,45033,21512,1818588,20408,406,929389,10586,8,6312,2324,1516
2006,3389579,170165,42873,19909,1854805,23027,413,959054,10198,8,6675,1964,1909
2007,3482278,172342,33288,19164,1947984,28872,573,961585,10985,2,7214,1089,2179
2008,3593497,176398,27374,17860,2016409,27091,559,1003568,7303,10,7191,759,1876
2009,3229494,260694,22116,18517,1961568,22633,600,929420,4351,50,6998,562,1985
2010,3321975,412269,18841,18394,1909923,21519,717,930605,3417,66,3708,426,2090
2011,3411799,458198,18975,19301,1963170,19866,609,923024,1954,75,3925,306,2396
2012,3490857,448046,16544,18969,2031271,16350,585,950884,1196,73,3999,297,2643
2013,3454922,426216,14538,18998,2062054,17881,658,905903,940,75,4787,278,2594
2014,3505090,430896,12320,19466,2055761,17617,755,957656,907,67,6068,284,3293
2015,3498604,416046,11332,18459,2040833,15737,954,955507,439,71,5449,29856,3921
2016,3383108,399667,11490,18753,1978699,16721,1203,932258,470,84,3903,13720,6140
2017,3248262,409407,10820,18312,1823899,13193,1857,945860,205,77,3861,5604,15167
2018,3135485,402580,11479,19068,1736927,12054,1651,917959,126,1,1740,3255,28645
2019,3077195,370500,11213,17784,1715995,10926,1714,915596,72,-2,1683,2536,29178
2020,2900821,379976,9483,17113,1566914,11315,1929,874537,56,-1,1559,1989,35951
