연도,맥주,포도주(원액포함),포도주(베르믓등 기타유사 포도주),과실 발효주(사과술 등),청주,약주,기타곡물발효주,기타발효주(와인쿨러 등),위스키,꼬냑,기타포도주,럼,진 및 제네바,보드카,기타리큐르(오가피 등),브랜디,소주,고량주,데낄라,기타증류주,주류수입합계
2000,8477,7522,0,139,59,0,0,0,21385,764,1185,267,128,219,1656,70,38,1482,175,176,43742
2001,17750,9375,0,129,114,0,0,0,24163,1020,1071,320,142,288,2583,21,13,1626,176,531,59322
2002,17332,11097,0,250,149,0,0,0,28022,1339,1632,418,136,380,3672,51,10,1580,227,757,67052
2003,17561,13123,28,363,165,0,107,631,26715,1294,1493,390,141,440,4042,49,18,2475,185,858,70078
2004,18622,14974,43,192,377,3,10,214,21365,851,870,344,130,392,2947,17,30,2052,202,1402,65037
2005,19340,18570,71,187,505,0,4,206,21973,874,1155,402,154,444,3212,20,30,2545,262,858,70812
2006,26912,22194,90,351,912,0,7,44,20371,684,746,445,135,541,4018,64,49,2743,333,1222,81861
2007,35816,31810,39,471,1294,0,1,10,23176,736,804,469,170,654,4338,129,1493,2847,420,1779,106456
2008,43196,28795,26,558,1866,1,5,16,23321,443,668,440,151,764,5523,44,649,3881,515,1716,112578
2009,41492,23009,30,467,2642,0,3,122,21244,480,281,488,172,958,4648,59,535,3844,520,882,101876
2010,48713,24568,337,561,3425,0,1,815,22590,415,395,586,210,1000,4187,65,83,4143,615,762,113471
2011,58993,26004,141,486,3555,0,0,1202,21433,334,416,608,337,1197,4303,76,105,4956,586,678,125410
2012,74750,28084,287,807,3781,4,1,1558,19543,146,350,815,330,1823,6592,83,115,4783,688,785,145325
2013,95211,32557,435,1194,4367,8,2,2365,18434,141,389,827,398,2609,7038,102,140,5861,613,919,173610
2014,119501,33100,1344,1179,4094,0,25,2982,19031,122,274,848,400,2682,7077,73,257,5775,669,1533,200966
2015,170919,36815,1146,1480,4053,0,34,2778,20536,116,335,839,364,2061,6716,96,109,6810,503,1294,257004
2016,220508,37384,1017,871,4497,0,132,3411,21029,127,312,851,330,2163,5825,85,120,7794,589,2780,309825
2017,331211,36144,1387,369,5400,0,953,5870,20290,115,227,783,351,2053,6155,67,106,7326,625,2205,421637
2018,387981,40292,1444,3083,6308,0,1133,6026,19966,111,257,958,452,3682,6387,90,124,7575,764,2843,489476
2019,360131,43495,1487,6580,4110,0,2119,3432,19836,126,324,1042,497,3400,5835,70,129,7464,759,3683,464519
2020,277927,54127,1655,11429,2379,0,4893,4918,15923,137,287,749,500,2037,4982,68,173,7448,434,3824,393890
2021,257932,76575,1827,14710,3109,0,7310,8664,15662,168,304,814,548,2266,5053,101,95,7123,454,5973,408688
